Year,commodity,rows,states,unit,min_total_production,max_total_production,source
1992,Milk,50,50,LB,12200000.0,23844000000.0,USDA NASS QuickStats bulk export
1992,Yogurt,8,8,LB,3969000.0,237695000.0,USDA NASS QuickStats bulk export
1993,Cheese,21,21,LB,607000.0,2030021000.0,USDA NASS QuickStats bulk export
1993,Honey,44,44,LB,189000.0,45000000.0,USDA NASS QuickStats bulk export
1993,Milk,50,50,LB,12000000.0,22924000000.0,USDA NASS QuickStats bulk export
1993,Yogurt,8,8,LB,25000.0,284944000.0,USDA NASS QuickStats bulk export
1994,Cheese,21,21,LB,902000.0,2024068000.0,USDA NASS QuickStats bulk export
1994,Honey,44,44,LB,162000.0,32430000.0,USDA NASS QuickStats bulk export
1994,Milk,50,50,LB,13000000.0,25234000000.0,USDA NASS QuickStats bulk export
1994,Yogurt,7,7,LB,28000.0,286766000.0,USDA NASS QuickStats bulk export
1995,Cheese,22,22,LB,1030000.0,2090827000.0,USDA NASS QuickStats bulk export
1995,Honey,44,44,LB,132000.0,39060000.0,USDA NASS QuickStats bulk export
1995,Milk,50,50,LB,12000000.0,25327000000.0,USDA NASS QuickStats bulk export
1995,Yogurt,7,7,LB,26000.0,251651000.0,USDA NASS QuickStats bulk export
1996,Cheese,21,21,LB,934000.0,2095946000.0,USDA NASS QuickStats bulk export
1996,Honey,44,44,LB,180000.0,27300000.0,USDA NASS QuickStats bulk export
1996,Milk,50,50,LB,14000000.0,25848000000.0,USDA NASS QuickStats bulk export
1996,Yogurt,5,5,LB,28000.0,208513000.0,USDA NASS QuickStats bulk export
