State,state_ansi,Year,commodity,total_production,unit,short_desc,load_time,source_file,source
UTAH,49,1931,Milk,578000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
VERMONT,50,1931,Milk,1336000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
VIRGINIA,51,1931,Milk,1324000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
WASHINGTON,53,1931,Milk,1711000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
WEST VIRGINIA,54,1931,Milk,793000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
WISCONSIN,55,1931,Milk,11305000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
WYOMING,56,1931,Milk,284000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ALABAMA,1,1932,Milk,1224000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ARIZONA,4,1932,Milk,200000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ARKANSAS,5,1932,Milk,1251000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
CALIFORNIA,6,1932,Milk,4118000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
COLORADO,8,1932,Milk,1016000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
CONNECTICUT,9,1932,Milk,645000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
DELAWARE,10,1932,Milk,126000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
FLORIDA,12,1932,Milk,255000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
GEORGIA,13,1932,Milk,1095000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
IDAHO,16,1932,Milk,1034000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ILLINOIS,17,1932,Milk,4880000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
INDIANA,18,1932,Milk,3112000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
IOWA,19,1932,Milk,6046000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
KANSAS,20,1932,Milk,3328000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
KENTUCKY,21,1932,Milk,1868000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
LOUISIANA,22,1932,Milk,571000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MAINE,23,1932,Milk,665000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MARYLAND,24,1932,Milk,765000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MASSACHUSETTS,25,1932,Milk,742000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MICHIGAN,26,1932,Milk,4294000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MINNESOTA,27,1932,Milk,7867000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MISSISSIPPI,28,1932,Milk,1337000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MISSOURI,29,1932,Milk,3650000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MONTANA,30,1932,Milk,746000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEBRASKA,31,1932,Milk,2890000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
