State,commodity,status,existing_total_production,downloaded_total_production,difference,pct_difference,within_absolute_tolerance,downloaded_unit,downloaded_short_desc,downloaded_load_time,downloaded_source
NEW MEXICO,Milk,matched,7148000000.0,7145000000.0,-3000000.0,-0.041969781757134866,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEW YORK,Cheese,matched,843648000.0,843648000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
NEW YORK,Honey,matched,2862000.0,2847841.0,-14159.0,-0.4947239692522711,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NEW YORK,Milk,matched,15660000000.0,15646000000.0,-14000000.0,-0.08939974457215837,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEW YORK,Yogurt,matched,793256000.0,793256000.0,0.0,0.0,True,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
NORTH CAROLINA,Honey,matched,507000.0,1026513.0,519513.0,102.46804733727811,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NORTH CAROLINA,Milk,downloaded_only,,912000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NORTH DAKOTA,Honey,matched,31200000.0,40873481.0,9673481.0,31.004746794871796,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NORTH DAKOTA,Milk,downloaded_only,,319000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
OHIO,Cheese,matched,255334000.0,255338000.0,4000.0,0.0015665755441891798,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
OHIO,Honey,matched,1254000.0,1825233.0,571233.0,45.55287081339713,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
OHIO,Milk,matched,5519000000.0,5526000000.0,7000000.0,0.12683457148034066,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
OKLAHOMA,Honey,downloaded_only,,234008.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
OKLAHOMA,Milk,downloaded_only,,716000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
OREGON,Cheese,existing_only,20120000.0,,,,,,,,
OREGON,Honey,matched,3404000.0,4373045.0,969045.0,28.467831962397177,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
OREGON,Milk,matched,2636000000.0,2635000000.0,-1000000.0,-0.03793626707132018,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
PENNSYLVANIA,Cheese,matched,450602000.0,450316000.0,-286000.0,-0.06347064593588134,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
PENNSYLVANIA,Honey,matched,1058000.0,1767195.0,709195.0,67.03166351606805,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
PENNSYLVANIA,Milk,matched,9949000000.0,9949000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
RHODE ISLAND,Honey,downloaded_only,,68208.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
RHODE ISLAND,Milk,downloaded_only,,10000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
SOUTH CAROLINA,Honey,matched,507000.0,541974.0,34974.0,6.898224852071006,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
SOUTH CAROLINA,Milk,downloaded_only,,161000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
SOUTH DAKOTA,Cheese,matched,533229000.0,533229000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2024-04-26 15:00:00.000,USDA NASS QuickStats
SOUTH DAKOTA,Honey,matched,7215000.0,7799314.0,584314.0,8.098600138600139,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
SOUTH DAKOTA,Milk,matched,4161000000.0,4161000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
TENNESSEE,Honey,matched,423000.0,708241.0,285241.0,67.43286052009456,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
TENNESSEE,Milk,downloaded_only,,493000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
