State,Year,commodity,total_production
VERMONT,1936,Milk,1362000000.0
VIRGINIA,1936,Milk,1334000000.0
WASHINGTON,1936,Milk,1903000000.0
WEST VIRGINIA,1936,Milk,814000000.0
WISCONSIN,1936,Milk,11598000000.0
WYOMING,1936,Milk,272000000.0
ALABAMA,1937,Milk,1178000000.0
ARIZONA,1937,Milk,214000000.0
ARKANSAS,1937,Milk,1321000000.0
CALIFORNIA,1937,Milk,4297000000.0
COLORADO,1937,Milk,930000000.0
CONNECTICUT,1937,Milk,650000000.0
DELAWARE,1937,Milk,127000000.0
FLORIDA,1937,Milk,323000000.0
GEORGIA,1937,Milk,1080000000.0
IDAHO,1937,Milk,1075000000.0
ILLINOIS,1937,Milk,4873000000.0
INDIANA,1937,Milk,2944000000.0
IOWA,1937,Milk,5919000000.0
KANSAS,1937,Milk,2708000000.0
KENTUCKY,1937,Milk,1883000000.0
LOUISIANA,1937,Milk,598000000.0
MAINE,1937,Milk,630000000.0
MARYLAND,1937,Milk,790000000.0
MASSACHUSETTS,1937,Milk,783000000.0
MICHIGAN,1937,Milk,4470000000.0
MINNESOTA,1937,Milk,7646000000.0
MISSISSIPPI,1937,Milk,1312000000.0
MISSOURI,1937,Milk,3053000000.0
MONTANA,1937,Milk,623000000.0
NEBRASKA,1937,Milk,2356000000.0
NEVADA,1937,Milk,104000000.0
NEW HAMPSHIRE,1937,Milk,357000000.0
NEW JERSEY,1937,Milk,903000000.0
NEW MEXICO,1937,Milk,245000000.0
NEW YORK,1937,Milk,7213000000.0
NORTH CAROLINA,1937,Milk,1279000000.0
NORTH DAKOTA,1937,Milk,1796000000.0
OHIO,1937,Milk,4434000000.0
OKLAHOMA,1937,Milk,2329000000.0
OREGON,1937,Milk,1336000000.0
PENNSYLVANIA,1937,Milk,4496000000.0
RHODE ISLAND,1937,Milk,131000000.0
SOUTH CAROLINA,1937,Milk,560000000.0
SOUTH DAKOTA,1937,Milk,1472000000.0
TENNESSEE,1937,Milk,1758000000.0
TEXAS,1937,Milk,4139000000.0
UTAH,1937,Milk,504000000.0
VERMONT,1937,Milk,1354000000.0
VIRGINIA,1937,Milk,1397000000.0
WASHINGTON,1937,Milk,1887000000.0
WEST VIRGINIA,1937,Milk,794000000.0
WISCONSIN,1937,Milk,11378000000.0
WYOMING,1937,Milk,259000000.0
ALABAMA,1938,Milk,1188000000.0
ARIZONA,1938,Milk,219000000.0
ARKANSAS,1938,Milk,1363000000.0
CALIFORNIA,1938,Milk,4454000000.0
COLORADO,1938,Milk,972000000.0
CONNECTICUT,1938,Milk,667000000.0
DELAWARE,1938,Milk,132000000.0
FLORIDA,1938,Milk,322000000.0
GEORGIA,1938,Milk,1079000000.0
IDAHO,1938,Milk,1110000000.0
ILLINOIS,1938,Milk,5056000000.0
INDIANA,1938,Milk,3168000000.0
IOWA,1938,Milk,6365000000.0
KANSAS,1938,Milk,2869000000.0
KENTUCKY,1938,Milk,1955000000.0
LOUISIANA,1938,Milk,647000000.0
MAINE,1938,Milk,638000000.0
MARYLAND,1938,Milk,831000000.0
MASSACHUSETTS,1938,Milk,784000000.0
MICHIGAN,1938,Milk,4560000000.0
MINNESOTA,1938,Milk,8175000000.0
MISSISSIPPI,1938,Milk,1338000000.0
MISSOURI,1938,Milk,3270000000.0
